model,member,coa_per_century,standalone_coa_per_century,nonstandalone_coa_per_century,alpha,en12_std,en34_std,en12_pr_std
CESM2-FV2,r3i1p1f1,0.61,0.61,0.0,-0.312978565683189,0.9705678224563599,1.2130107879638672,1.170741729018652
CESM2-FV2,r2i1p1f1,0.0,0.0,0.0,-0.3370428138030222,0.9772908687591553,1.209021806716919,1.243008372585901
CESM2-WACCM,r1i1p1f1,3.03,1.82,1.21,-0.230992430022739,0.8638090491294861,0.994925856590271,0.611286689636946
CESM2-WACCM,r3i1p1f1,3.03,1.21,1.82,-0.1768846684623782,0.8048381805419922,0.9520752429962158,0.5929117283107198
CESM2-WACCM,r2i1p1f1,3.03,1.82,1.21,-0.23021353302673414,0.8349164128303528,0.976196825504303,0.5966005342346264
CESM2-WACCM-FV2,r1i1p1f1,0.0,0.0,0.0,-0.5372710391634744,1.0618582963943481,1.3197672367095947,1.2318387308008583
CESM2-WACCM-FV2,r3i1p1f1,0.0,0.0,0.0,-0.7168828409240598,1.1456624269485474,1.5127110481262207,1.293590766205932
CESM2-WACCM-FV2,r2i1p1f1,0.0,0.0,0.0,-0.4626861790953559,1.0053664445877075,1.350455641746521,1.0907291903122176
CMCC-CM2-HR4,r1i1p1f1,1.21,0.0,1.21,-0.16974817693634148,0.708820104598999,0.9189956188201904,1.1570415234398153
CMCC-CM2-SR5,r1i1p1f1,8.48,4.24,4.24,-0.5101112793203504,0.7109365463256836,1.0949034690856934,1.0551161392419053
CMCC-CM2-SR5,r2i1p2f1,6.67,6.06,0.61,-0.41096702785003114,0.6781156063079834,1.0477702617645264,1.0515246830893803
CMCC-CM2-SR5,r3i1p2f1,6.06,4.24,1.82,-0.26215850073177444,0.7117981314659119,0.9430262446403503,1.1474051924052462
CMCC-ESM2,r1i1p1f1,11.52,9.7,1.82,-0.5567695469255242,0.7309126853942871,1.1918911933898926,1.1197980462481985
CNRM-CM6-1,r1i1p1f2,0.61,0.61,0.0,-0.11469076308435915,0.6779616475105286,0.8818674087524414,1.248969123825117
CNRM-CM6-1,r2i1p1f2,2.42,1.82,0.61,-0.11103972921666497,0.689019501209259,0.805465042591095,1.2319358098419158
CNRM-CM6-1,r3i1p1f2,0.61,0.61,0.0,-0.056605454700270084,0.6645308136940002,0.8317143321037292,1.1728484991191623
